rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmrasymerr,st_pmdec,st_pmdecsymerr,pl_tranmid,pl_tranmidsymerr,pl_orbper,pl_orbpersymerr,pl_trandurh,pl_trandurhsymerr,pl_trandep,pl_trandepsymerr,pl_rade,pl_radesymerr,pl_insol,pl_insolsymerr,pl_eqt,pl_eqtsymerr,st_tmag,st_tmagsymerr,st_dist,st_distsymerr,st_teff,st_teffsymerr,st_logg,st_loggsymerr,st_rad,st_radsymerr,toi_created,rowupdate,ra_error,dec_error,st_pmra_error,st_pmdec_error,pl_tranmid_error,pl_orbper_error,pl_trandurh_error,pl_trandep_error,pl_rade_error,pl_insol_error,pl_eqt_error,st_tmag_error,st_dist_error,st_teff_error,st_logg_error,st_rad_error
1235,2037.01,2037,405559035,405559035.01,1,PC,15h39m26.71s,234.861293,+55d09m12.59s,55.153498,-11.969,1.0,-23.747,1.0,2459639.813076,1,11.1516668,1,4.623,1,580.0,1,2.91771,1,206.982,,1056.0,,10.67,1,263.958,1,6319.0,1,4.38,1,1.19,1,2020-06-19 07:20:03,2025-08-01 10:05:58,,,0.043,0.05,0.005455,0.0001378,0.528,1.01531,0.182861,,,0.007,1.641,123.0,0.09,0.05
1236,2037.02,2037,405559035,405559035.02,2,PC,15h39m26.71s,234.861293,+55d09m12.59s,55.153498,-11.969,1.0,-23.747,1.0,2459637.780899,1,5.5470937,1,3.4350999,1,550.6948044,1,2.8717764,1,464.0413077,,1183.747051,,10.67,1,263.958,1,6319.0,1,4.38,1,1.1913199,1,2025-07-17 18:08:56,2025-07-22 12:04:25,,,0.043,0.05,0.002528,4.41e-05,0.7168904,53.98658,1.924432,,,0.007,1.641,123.0,0.09,0.0516508
1237,2038.01,2038,235937532,235937532.01,1,APC,19h35m39.5s,293.914601,+81d33m17.25s,81.554791,-2.776,1.0,-0.542,1.0,2459913.435645,1,3.7321195,1,5.738,1,4180.0,1,19.158,1,5711.67,,2421.0,,10.5352,1,603.172,1,6570.0,1,3.68,1,2.8,1,2020-06-19 07:20:03,2023-03-16 16:02:02,,,0.061,0.069,0.001548,6.2e-06,0.448,0.474694,0.937763,,,0.008,12.441,124.8,0.09,0.13
1238,2039.01,2039,237071229,237071229.01,1,PC,20h28m05.46s,307.022746,+61d52m17.08s,61.871411,-17.586,1.0,-19.725,1.0,2460539.786844,1,11.2479927,1,3.142,1,1277.0,1,4.96692,1,106.719,,895.0,,10.4719,1,276.053,1,6308.0,1,4.19,1,1.48,1,2020-06-19 07:20:03,2024-11-14 10:08:02,,,0.046,0.042,0.0023,3.12e-05,0.622,62.3313,0.268031,,,0.006,1.562,190.4,0.09,0.06
1239,204.01,204,281781375,281781375.01,1,PC,00h51m54.24s,12.97601,-59d20m37.13s,-59.343647,88.887,1.0,-148.96,1.0,2458328.034407,1,43.8297863,1,4.3011392,1,647.2685163,1,2.8243863,1,15.6569489,,507.3369958,,9.2182,1,95.3428,1,5605.0,1,4.39973,1,1.03654,1,2018-11-14 15:06:55,2024-04-25 10:08:01,,,0.042,0.042,0.003418,0.0001458,0.4709543,54.201218,0.6702957,,,0.006,0.21455,187.0,0.270707,0.0544523
1240,2040.01,2040,427730490,427730490.01,1,PC,23h29m05.94s,352.27473,+71d30m23.31s,71.506474,44.853,1.0,25.368,1.0,2459740.365261,1,3.8608551,1,2.571,1,14670.0,1,11.2224,1,163.361,,995.0,,10.8407,1,144.717,1,5019.0,1,4.43,1,0.92,1,2020-06-19 07:20:03,2022-12-12 16:02:01,,,0.042,0.041,0.00026,1.3e-06,0.03,0.625001,0.679003,,,0.006,0.492,166.0,0.09,0.06
1241,2041.01,2041,54364414,54364414.01,1,FP,01h16m56.36s,19.234846,+62d21m06.08s,62.35169,78.916,1.0,-13.737,1.0,2458792.09451,1,1.37477,1,1.601,1,960.0,1,3.0101,1,1122.82,,1612.0,,10.4608,1,177.331,1,5825.0,1,4.44,1,1.02,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,0.037,0.048,0.00283,3e-05,0.129,0.918522,0.184631,,,0.006,0.9395,155.6,0.08,0.05
1242,2042.01,2042,269424395,269424395.01,1,FP,23h21m28.66s,350.369407,+60d48m04.22s,60.801171,-8.563,1.0,-13.166,1.0,2458768.14945,1,2.41872,1,2.685,1,1160.0,1,7.23529,1,1660.52,,1778.0,,10.9518,1,511.22,1,6535.0,1,3.9,1,2.16,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,0.043,0.039,0.00666,9e-05,0.308,2.03758,0.483918,,,0.006,6.974,459.3,0.12,0.1
1243,2043.01,2043,346929661,346929661.01,1,PC,00h03m54.61s,0.977557,+59d20m04.85s,59.334681,-3.071,1.0,-22.425,1.0,2460428.035206,1,12.0135752,1,4.274,1,1171.0,1,3.7307,1,143.432,,964.0,,10.1976,1,203.562,1,6178.0,1,4.33,1,1.23,1,2020-06-19 07:20:03,2024-08-26 10:08:02,,,0.043,0.041,0.004678,4.77e-05,0.62,55.9347,0.216191,,,0.006,1.209,254.9,0.09,0.06
1244,2044.01,2044,270333769,270333769.01,1,FP,23h27m31.27s,351.880281,+61d23m33.05s,61.392515,-5.884,1.0,-5.005,1.0,2460418.367886,1,4.1207509,1,2.158,1,973.0,1,7.46471,1,2466.19,,1963.0,,10.4887,1,664.006,1,9953.0,1,4.09,1,2.38,1,2020-06-19 07:20:03,2024-07-26 10:08:01,,,0.059,0.057,0.002959,1.52e-05,0.565,80.9931,0.54253,,,0.064,16.6285,965.5,0.1,0.13
